condition,frame,canonical_filename,original_filename,old_postimages_url,size_kb
CHARITY_FU,4,CHARITY_FU_04.jpg,Charity-FU-frame-04-00-20-no-subtitle.png,https://i.postimg.cc/TPBrGHXT/Charity-FU-frame-04-00-20-no-subtitle.png,159.8
CHARITY_FU,5,CHARITY_FU_05.jpg,Charity-FU-frame-05-00-22.png,https://i.postimg.cc/HLFQHPCk/Charity-FU-frame-05-00-22.png,141.4
CHARITY_NE,1,CHARITY_NE_01.jpg,Charity-NE-frame-01-00-03.png,https://i.postimg.cc/g0KntS2b/Charity-NE-frame-01-00-03.png,161.0
CHARITY_NE,2,CHARITY_NE_02.jpg,Charity-NE-frame-02-00-18.png,https://i.postimg.cc/YSxhDnCw/Charity-NE-frame-02-00-18.png,165.0
CHARITY_NE,3,CHARITY_NE_03.jpg,Charity-NE-frame-03-00-22.png,https://i.postimg.cc/25xV9cSD/Charity-NE-frame-03-00-22.png,180.3
CHARITY_NE,4,CHARITY_NE_04.jpg,Charity-NE-frame-04-00-52.png,https://i.postimg.cc/QMqHY4dG/Charity-NE-frame-04-00-52.png,172.3
CHARITY_NE,5,CHARITY_NE_05.jpg,Charity-NE-frame-05-01-02.png,https://i.postimg.cc/ZqLCs75b/Charity-NE-frame-05-01-02.png,167.3
CHARITY_NU,1,CHARITY_NU_01.jpg,Charity-NU-frame-01-00-01.png,https://i.postimg.cc/C5WfjRc0/Charity-NU-frame-01-00-01.png,145.5
CHARITY_NU,2,CHARITY_NU_02.jpg,Charity-NU-frame-02-00-18.png,https://i.postimg.cc/Vv3bjJK1/Charity-NU-frame-02-00-18.png,156.8
CHARITY_NU,3,CHARITY_NU_03.jpg,Charity-NU-frame-03-00-32.png,https://i.postimg.cc/2yPB410r/Charity-NU-frame-03-00-32.png,152.4
CHARITY_NU,4,CHARITY_NU_04.jpg,Charity-NU-frame-04-00-44.png,https://i.postimg.cc/PJB8mCSd/Charity-NU-frame-04-00-44.png,164.3
CHARITY_NU,5,CHARITY_NU_05.jpg,Charity-NU-frame-05-00-49.png,https://i.postimg.cc/mZqMxnBt/Charity-NU-frame-05-00-49.png,168.4
DOCTOR_FE,1,DOCTOR_FE_01.jpg,Doctor-FE-v3-frame-01-patient-at-reception-no-subtitle.png,https://i.postimg.cc/sDqCd2Rr/Doctor-FE-v3-frame-01-patient-at-reception-no-subtitle.png,121.3
DOCTOR_FE,2,DOCTOR_FE_02.jpg,Doctor-FE-v3-frame-02-appointment-checkin-subtitle.png,https://i.postimg.cc/fTpQnbhh/Doctor-FE-v3-frame-02-appointment-checkin-subtitle.png,124.9
DOCTOR_FE,3,DOCTOR_FE_03.jpg,Doctor-FE-v3-frame-03-searches-for-id-no-subtitle.png,https://i.postimg.cc/52zdxMfR/Doctor-FE-v3-frame-03-searches-for-id-no-subtitle.png,120.9
DOCTOR_FE,4,DOCTOR_FE_04.jpg,Doctor-FE-v3-frame-04-gets-id-back-subtitle.png,https://i.postimg.cc/DwGk2K7Y/Doctor-FE-v3-frame-04-gets-id-back-subtitle.png,126.2
DOCTOR_FE,5,DOCTOR_FE_05.jpg,Doctor-FE-v3-frame-05-waiting-seated-stable-no-subtitle.png,https://i.postimg.cc/HkMDpCp1/Doctor-FE-v3-frame-05-waiting-seated-stable-no-subtitle.png,131.6
DOCTOR_FU,1,DOCTOR_FU_01.jpg,Doctor-FU-v2-frame-01-checkin-at-reception-no-subtitle.png,https://i.postimg.cc/02cdb6yw/Doctor-FU-v2-frame-01-checkin-at-reception-no-subtitle.png,139.8
DOCTOR_FU,2,DOCTOR_FU_02.jpg,Doctor-FU-v2-frame-02-id-return-handover-subtitle.png,https://i.postimg.cc/wT0c7tjD/Doctor-FU-v2-frame-02-id-return-handover-subtitle.png,140.2
DOCTOR_FU,3,DOCTOR_FU_03.jpg,Doctor-FU-v2-frame-03-waiting-seated-no-subtitle.png,https://i.postimg.cc/WbX6hD1Z/Doctor-FU-v2-frame-03-waiting-seated-no-subtitle.png,151.1
DOCTOR_FU,4,DOCTOR_FU_04.jpg,Doctor-FU-v2-frame-04-doctor-sick-subtitle.png,https://i.postimg.cc/bN3HsGwk/Doctor-FU-v2-frame-04-doctor-sick-subtitle.png,155.8
DOCTOR_FU,5,DOCTOR_FU_05.jpg,Doctor-FU-v2-frame-05-patient-leaves-no-subtitle.png,https://i.postimg.cc/RVXQN3Z7/Doctor-FU-v2-frame-05-patient-leaves-no-subtitle.png,140.1
DOCTOR_NE,1,DOCTOR_NE_01.jpg,IMG-0277.jpg,https://i.postimg.cc/8kHCxXJn/IMG-0277.jpg,124.5
DOCTOR_NE,2,DOCTOR_NE_02.jpg,IMG-0279.jpg,https://i.postimg.cc/7LGGk180/IMG-0279.jpg,129.6
